unique_id,year,company,project,loation,province,status,sector,project_cost,latitude_1,longitude_1,company_type,group,cleantech,abbreviation,planning,construction,active,graduate,dropout
89,2022,Canadian Natural Resources Limited,Grouse,Hudson Hope,AB,Announced & Planning,Energy,1530,55.4662918,-111.7557665,Private,Oil & Gas - Upstream,No,EN-OG-U,1,0,1,0,0
89,2023,Canadian Natural Resources Limited,Grouse,Hudson Hope,AB,Announced & Planning,Energy,1530,55.4662918,-111.7557665,Private,Oil & Gas - Upstream,No,EN-OG-U,1,0,1,0,0
89,2024,Canadian Natural Resources Limited,Grouse,Hudson Hope,AB,In Review,Energy,1530,55.4662918,-111.7557665,Private,Oil & Gas - Upstream,No,EN-OG-U,1,0,1,0,0
90,2017,Canadian Natural Resources Ltd. (CNRL),Horizon (Mining),Regional Municipality of Wood Buffalo (RMWB),AB,Under Construction,Energy,5133,57.33676,-111.7655468,Private,Oil & Gas - Upstream,No,EN-OG-U,0,1,1,0,0
90,2018,Canadian Natural Resources Ltd. (CNRL),Horizon (Mining) Phases 4-5,Regional Municipality of Wood Buffalo (RMWB),AB,In Review,Energy,6000,57.33676,-111.7655468,Private,Oil & Gas - Upstream,No,EN-OG-U,1,0,1,0,0
90,2019,Canadian Natural Resources Ltd. (CNRL),Horizon (Mining) Phases 4-5,Regional Municipality of Wood Buffalo (RMWB),AB,In Review,Energy,6000,57.3368,-111.7655,Private,Oil & Gas - Upstream,No,EN-OG-U,1,0,1,0,0
90,2020,Canadian Natural Resources Ltd. (CNRL),Horizon (Mining) Phases 4-5,Regional Municipality of Wood Buffalo (RMWB),AB,In Review,Energy,6000,57.33676,-111.7655468,Private,Oil & Gas - Upstream,No,EN-OG-U,1,0,1,0,0
90,2021,Canadian Natural Resources Ltd. (CNRL),Horizon (Mining),Regional Municipality of Wood Buffalo (RMWB),AB,In Review,Energy,6000,57.33676,-111.7655468,Private,Oil & Gas - Upstream,No,EN-OG-U,1,0,1,0,0
90,2022,Canadian Natural Resources Ltd. (CNRL),Horizon (Mining),Regional Municipality of Wood Buffalo (RMWB),AB,In Review,Energy,6000,57.33676,-111.7655468,Private,Oil & Gas - Upstream,No,EN-OG-U,1,0,1,0,0
90,2023,Canadian Natural Resources Ltd. (CNRL),Horizon (Mining),Regional Municipality of Wood Buffalo (RMWB),AB,Approved,Energy,6000,57.33676,-111.7655468,Private,Oil & Gas - Upstream,No,EN-OG-U,1,0,0,0,1
91,2017,Canadian Natural Resources Ltd. (CNRL),Kirby South,Regional Municipality of Wood Buffalo (RMWB) & Lac La Biche County,AB,Approved,Energy,533,55.347889,-111.038132,Private,Oil & Gas - Upstream,No,EN-OG-U,1,0,1,0,0
91,2018,Canadian Natural Resources Ltd. (CNRL),Kirby South,Regional Municipality of Wood Buffalo (RMWB) & Lac La Biche County,AB,Approved,Energy,533,55.347889,-111.038132,Private,Oil & Gas - Upstream,No,EN-OG-U,1,0,1,0,0
91,2019,Canadian Natural Resources Ltd. (CNRL),Kirby South,Regional Municipality of Wood Buffalo (RMWB) & Lac La Biche County,AB,Approved,Energy,3300,55.3479,-111.0381,Private,Oil & Gas - Upstream,No,EN-OG-U,1,0,0,0,1
92,2017,NorZinc,Prairie Creek,"Dehcho, 170 km of Fort Simpson",NT,In Review,Mining,244,61.56,-124.794,Private,Critical Mineral,Yes,MIN-CM,1,0,1,0,0
92,2018,NorZinc,Prairie Creek,"Dehcho, 170 km of Fort Simpson",NT,In Review,Mining,278.9,61.56,-124.794,Private,Critical Mineral,Yes,MIN-CM,1,0,1,0,0
